"532606","丹东黄蚬","882208","492","1500"
"466992","夹心海苔","882280","514","0"
"530965","新疆天山蜜杏","882282","647","0"
"439002","老盐金桔柠檬粉","882311","657","0"
"522538","阳山湖景水蜜桃","882381","640","0"
"532808","每日坚果","882id415","348","1500"
"411791","湖南米粉","882518","534","0"
"525214","泰国椰青","882646","505","0"
"518343","大荔冬枣","882796","634","0"
"525758","泰国椰青","882821","505","0"
"530053","泰国椰青","882882","505","0"
"532775","每日坚果","882888","348","1500"
"529519","泰国椰青","883143","505","0"
"526945","裸酸奶","883196","569","0"
"532963","手工清真牛肉酱","883318","409","0"
"533129","泰国椰青","883361","505","0"
"399020","泰国椰青","883501","505","0"
"527958","丹东黄蚬","883530","492","1500"
"293871","泰国椰青","883654","505","0"
"502404","泰国椰青","883754","505","0"
"533561","丹东黄蚬","883960","492","1500"
"26335","泰国椰青","884185","505","0"
"151950","乐纯希腊酸奶","884190","385","0"
"345963","海南桥沙地瓜","884543","610","0"
"365988","生态鲜腐竹","884604","528","0"
"342438","重庆小面","884681","544","0"
"357165","红心火龙果","884706","326","1500"
"529257","山楂优块","884783","512","0"
"534195","巨无霸金奇异果","884850","314","1500"
"427795","重庆小面","884981","544","0"
"534235","海南桥沙地瓜","885009","610","0"
"534259","丹东黄蚬","885027","492","1500"
"534295","夹心海苔","885063","514","1500"
"351010","柳州螺蛳粉","885186","427","0"
"534485","泰国椰青","885421","505","0"
"522554","夹心海苔","885575","514","1500"
"78631","丹东黄蚬","885717","492","1500"
"533906","夹心海苔","885804","514","1500"
"534685","红心火龙果","885837","326","1500"
"534726","巨无霸金奇异果","885890","314","1500"
"231514","泰国椰青","885918","505","0"
"534497","谷物营养粥","886026","664","0"
"516571","红心火龙果","886036","326","1500"
"514694","红心火龙果","886037","326","1500"
"444814","重庆小面","886052","544","0"
"347876","泰国椰青","886056","505","0"
"534813","红心火龙果","886096","326","1500"
"515281","丹东黄蚬","886106","492","1500"
"313005","巨无霸金奇异果","886163","314","1500"
"534919","泰国椰青","886165","505","0"
"202394","捷克式熟酸奶","886188","662","0"
"18198","多功能清洁膏","886239","564","1500"
"419191","新西兰红玫瑰苹果","886260","590","0"
"470859","夹心海苔","886292","514","1500"
"533662","泰国椰青","886383","505","0"
"535083","麻辣小龙虾","886415","595","0"
