id,product,order_id,product_id,coupon
"535150","湖南米粉","886491","534","0"
"531909","华盛顿车厘子","886493","636","0"
"47519","湖南米粉","886495","534","0"
"47519","湖南米粉","886495","534","0"
"347464","多功能清洁膏","886531","564","0"
"535234","湖南米粉","886535","534","0"
"535239","泰国椰青","886537","505","0"
"229114","裸酸奶","886541","569","0"
"51698","老盐金桔柠檬粉","886544","657","0"
"535249","多功能清洁膏","886546","564","0"
"535287","世界插画大展","886573","646","0"
"535300","麻辣小龙虾","886582","595","0"
"533869","大荔冬枣","886584","634","0"
"198452","夹心海苔","886585","514","1500"
"535305","世界插画大展","886586","646","0"
"215712","珍珠小笼包","886588","517","0"
"535296","泰国椰青","886591","505","0"
"303038","原生竹浆本色纸","886602","635","0"
"303038","原生竹浆本色纸","886602","635","0"
"443407","海南桥沙地瓜","886620","610","0"
"535324","麻辣小龙虾","886622","595","0"
"535171","海南桥沙地瓜","886624","610","0"
"535325","老盐金桔柠檬粉","886626","657","0"
"535184","进口澳柑","886628","656","0"
"530508","夹心海苔","886629","514","1500"
"535331","乐纯希腊酸奶","886630","385","0"
"534682","泰国椰青","886631","505","0"
"62845","泰国椰青","886638","505","0"
"266865","安格斯牛仔骨","886640","660","0"
"394740","冰鲜多宝鱼","886659","659","0"
"535369","泰国椰青","886685","505","0"
"493077","丹东黄蚬","886687","492","1500"
"533133","新西兰进口花生酱","886688","669","0"
"533133","新西兰进口花生酱","886688","669","0"
"205885","多功能清洁膏","886690","564","1500"
"495596","泰国椰青","886708","505","0"
"534697","巨无霸金奇异果","886745","314","1500"
"415167","泰国椰青","886772","505","0"
"535423","夹心海苔","886778","514","1500"
"535443","世界插画大展","886802","646","0"
"514705","红心火龙果","886808","326","1500"
"515836","世界插画大展","886811","646","0"
"510739","泰国椰青","886813","505","0"
"532595","丹东黄蚬","886820","492","1500"
"50382","世界插画大展","886823","646","0"
"532505","麻辣小龙虾","886825","595","0"
"445972","丹东黄蚬","886831","492","1500"
"509127","老盐金桔柠檬粉","886834","657","0"
"531011","大荔冬枣","886839","634","0"
"299671","老盐金桔柠檬粉","886840","657","0"
"523616","生态鲜腐竹","886844","528","0"
"535473","五彩野鸡蛋","886868","375","0"
"535479","法国儿童驱蚊手环","886870","592","0"
"535479","法国儿童驱蚊手环","886870","592","0"
"241658","法国琥珀锅","886880","655","0"
"405524","泰国椰青","886885","505","0"
"532354","麻辣小龙虾","886891","595","0"
"411166","丹东黄蚬","886901","492","0"
"535472","丹东黄蚬","886902","492","0"
"507236","麻辣小龙虾","886910","595","0"
"535486","麻辣小龙虾","886911","595","0"
"528908","夹心海苔","886919","514","1500"
"97284","巨无霸金奇异果","886925","314","1500"
"310502","柳州螺蛳粉","886969","427","0"
"535553","夹心海苔","886971","514","1500"
"535572","传统厚片纯燕麦片","886976","490","0"
"416233","丹东黄蚬","886978","492","1500"
"535552","每日坚果","886981","348","1500"
"139679","每日坚果","886985","348","1500"
"245477","儿童便携水壶","887011","630","1000"
"501365","舞台功夫剧《熊猫》","887016","607","0"
"508863","泰国椰青","887021","505","0"
"224428","柳州螺蛳粉","887032","427","0"
"535615","夹心海苔","887036","514","1500"
"535621","泰国椰青","887040","505","0"
"254583","夹心海苔","887044","514","0"
"535620","丹东黄蚬","887052","492","1500"
"514892","海南桥沙地瓜","887055","610","0"
"535648","乐纯希腊酸奶","887070","385","0"
"467848","多功能清洁膏","887071","564","0"
"535647","红心火龙果","887080","326","1500"
"533591","山楂优块","887123","512","0"
"198927","迁西甘栗仁","887136","577","0"
"521994","法国儿童驱蚊手环","887138","592","0"
"534411","新西兰红玫瑰苹果","887141","590","0"
"417405","华盛顿车厘子","887143","636","0"
"534450","泰国椰青","887154","505","0"
"467857","华盛顿车厘子","887163","636","0"
"189115","华盛顿车厘子","887164","636","0"
"531716","华盛顿车厘子","887188","636","0"
"535711","华盛顿车厘子","887191","636","0"
"531569","华盛顿车厘子","887200","636","0"
"409972","海南桥沙地瓜","887205","610","0"
"526698","泰国椰青","887220","505","0"
"395980","华盛顿车厘子","887224","636","0"
"391647","世界插画大展","887225","646","0"
"535740","生态鲜腐竹","887230","528","0"
"534395","华盛顿车厘子","887233","636","0"
"188251","泰国椰青","887235","505","0"
"508426","华盛顿车厘子","887238","636","0"
"494341","华盛顿车厘子","887248","636","0"
"461082","生态鲜腐竹","887253","528","0"
"83369","有机绿宝石脆梨","887262","663","0"
"535773","夹心海苔","887283","514","1500"
"535782","丹东黄蚬","887299","492","1500"
"514676","泰国椰青","887307","505","0"
"535815","华盛顿车厘子","887308","636","0"
"535814","生态鲜腐竹","887311","528","0"
"535818","华盛顿车厘子","887312","636","0"
"456342","麻辣小龙虾","887327","595","0"
"535790","华盛顿车厘子","887328","636","0"
"535790","华盛顿车厘子","887328","636","0"
"535846","山楂优块","887342","512","0"
"415603","华盛顿车厘子","887348","636","0"
"535852","华盛顿车厘子","887350","636","0"
"535857","山楂优块","887351","512","0"
"532964","华盛顿车厘子","887353","636","0"
"535856","华盛顿车厘子","887356","636","0"
"535866","山楂优块","887359","512","0"
"530132","麻辣小龙虾","887361","595","0"
"535862","世界插画大展","887362","646","0"
"535849","巨无霸金奇异果","887373","314","1500"
"176278","生态巢蜜","887374","346","0"
"535697","华盛顿车厘子","887375","636","0"
"494285","丹东黄蚬","887377","492","0"
"535881","便携榨汁神器","887380","557","0"
"467478","泰国椰青","887381","505","0"
"492162","华盛顿车厘子","887387","636","0"
"434590","泰国椰青","887407","505","1000"
"531552","红心火龙果","887412","326","1500"
"535907","丹东黄蚬","887415","492","1500"
"373544","华盛顿车厘子","887420","636","0"
"527587","泰国椰青","887447","505","0"
"535717","丹东黄蚬","887452","492","1500"
"535916","丹东黄蚬","887463","492","1500"
"535911","红心火龙果","887464","326","1500"
"521151","泰国椰青","887489","505","0"
"535959","泰国椰青","887498","505","0"
"535965","海南桥沙地瓜","887507","610","0"
"414744","海南桥沙地瓜","887518","610","0"
"478463","麻辣小龙虾","887519","595","0"
"165961","谷物营养粥","887537","664","0"
"532229","麻辣小龙虾","887538","595","0"
"535991","泰国椰青","887550","505","0"
"372847","丹东黄蚬","887554","492","1500"
"159837","捷克式熟酸奶","887580","662","0"
"536030","大荔冬枣","887582","634","0"
"525258","乐纯希腊酸奶","887590","385","0"
"536020","丹东黄蚬","887600","492","0"
"533777","泰国椰青","887621","505","0"
