id,time,product
239,2017/7/6,进口超甜香蕉
259,2017/7/11,迁西甘栗仁
265,2017/6/19,六鳌红蜜薯
265,2017/6/18,沁州黄小米
265,2017/6/27,法国猪肋排
265,2017/6/22,多功能清洁膏
265,2017/6/20,德国皮具护理膏
287,2017/6/29,麻辣小龙虾
287,2017/6/29,北极甜虾
302,2017/6/17,巨无霸金奇异果
302,2017/7/7,刘老汉薄皮吊瓜
302,2017/7/2,柳州螺蛳粉
302,2017/6/17,丹东黄蚬
302,2017/6/17,法国猪肋排
302,2017/6/17,蓝莓
302,2017/7/7,蓝莓
302,2017/6/17,散养柴猪肉
302,2017/6/17,散养柴猪肉
302,2017/7/12,麻辣小龙虾
302,2017/7/12,丹东黄蚬
311,2017/6/18,山楂优块
434,2017/6/30,五彩野鸡蛋
434,2017/6/20,崂山蜜杏
434,2017/6/28,赤焰紫桃
434,2017/7/13,新疆天山蜜杏
434,2017/7/14,五彩野鸡蛋
447,2017/6/29,海阳网纹蜜瓜
447,2017/6/23,麻辣小龙虾
1059,2017/7/7,多功能清洁膏
3398,2017/7/15,手工清真牛肉酱
3398,2017/7/15,即食水果片
4245,2017/6/19,六鳌红蜜薯
4245,2017/6/19,蓝莓
4262,2017/6/20,红心火龙果
4262,2017/6/19,六鳌红蜜薯
4287,2017/6/27,南极银鳕鱼(犬牙鱼)
4287,2017/6/18,蓝莓
4292,2017/7/8,越南百香果
4292,2017/7/12,纯乳脂奶油蛋糕
4521,2017/6/28,刘老汉薄皮吊瓜
4521,2017/6/29,海阳网纹蜜瓜
4666,2017/6/24,每日坚果
4666,2017/6/24,椴树蜂蜜
4666,2017/6/24,原装进口水果干
4666,2017/6/24,新疆切糕
4813,2017/7/6,夹心海苔
4888,2017/6/29,丹东黄蚬
4955,2017/6/17,蓝莓
5015,2017/6/28,法国猪肋排
5676,2017/6/27,德国削皮刀
5676,2017/6/27,真空密封罐3件套
5787,2017/7/11,刘老汉薄皮吊瓜
5787,2017/7/11,海阳网纹蜜瓜
5794,2017/6/18,黑糯玉米
6231,2017/6/19,海阳网纹蜜瓜
6231,2017/6/29,海阳网纹蜜瓜
6262,2017/6/27,夹心海苔
6266,2017/6/22,美早大樱桃
6358,2017/6/18,蓝莓
6726,2017/7/5,麻辣小龙虾
6734,2017/7/6,刘老汉薄皮吊瓜
6742,2017/6/17,红心火龙果
6742,2017/7/1,乐纯希腊酸奶
6742,2017/6/17,丹东黄蚬
6742,2017/6/29,湖南米粉
6742,2017/6/17,裸酸奶
6742,2017/6/28,青岛玲珑圣女果
6924,2017/7/7,华盛顿车厘子
7195,2017/6/27,南极银鳕鱼(犬牙鱼)
7195,2017/6/28,赤焰紫桃
7521,2017/6/17,云南“黑珍珠”葡萄
7526,2017/6/27,南极银鳕鱼(犬牙鱼)
7526,2017/6/27,鳕鱼水饺
7534,2017/7/7,蓝莓
7722,2017/7/3,六鳌红蜜薯
7722,2017/6/23,海阳网纹蜜瓜
7722,2017/6/29,海阳网纹蜜瓜
7815,2017/6/22,舟山带鱼
7893,2017/7/5,华盛顿车厘子
7926,2017/6/26,泰国椰青
8180,2017/7/16,德国皮具护理膏
8217,2017/7/11,高山东魁杨梅
